sim,front,mid,back,lat_left,lat_right,coronal,condition,GGP,GGM,GGA,STY,MH,HG,TRANS,VERT,SL,IL,JAW.OPEN,JAW.CLOSE
53224,0,0,0,2,1,0,5mm,0.25,0.25,0,0.1,0,0,0,0,0.25,0.1,0,0.0015
53232,0,0,0,2,2,0,5mm,0.25,0.25,0,0.1,0,0,0,0.1,0.25,0,0,0.0015
53470,0,0,0,1,1,0,5mm,0.25,0.25,0,0.1,0.1,0,0,0.1,0,0.1,0,0.0015
53708,0,0,0,2,3,0,5mm,0.25,0.25,0,0.1,0.25,0,0,0,0.1,0.25,0,0.0015
53716,0,0,0,2,4,0,5mm,0.25,0.25,0,0.1,0.25,0,0,0.1,0.1,0.1,0,0.0015
53722,0,0,0,1,3,0,5mm,0.25,0.25,0,0.1,0.25,0,0,0.25,0,0.1,0,0.0015
53753,0,0,0,1,1,0,5mm,0.25,0.25,0,0.1,0.25,0,0.1,0.25,0.1,0.25,0,0.0015
53807,0,0,0,1,1,0,5mm,0.25,0.25,0,0.1,0.25,0.1,0,0.25,0.1,0.25,0,0.0015
54693,0,0,0,1,1,0,5mm,0.25,0.25,0.1,0,0,0,0,0.25,0,0,0,0.0015
55169,0,0,0,3,2,0,5mm,0.25,0.25,0.1,0,0.25,0,0,0,0.25,0.25,0,0.0015
55177,0,0,0,2,2,0,5mm,0.25,0.25,0.1,0,0.25,0,0,0.1,0.25,0.1,0,0.0015
55185,0,0,0,2,2,0,5mm,0.25,0.25,0.1,0,0.25,0,0,0.25,0.25,0,0,0.0015
55897,0,0,0,2,3,0,5mm,0.25,0.25,0.1,0.1,0.25,0,0,0,0.25,0.1,0,0.0015
55915,0,0,0,2,3,0,5mm,0.25,0.25,0.1,0.1,0.25,0,0,0.25,0.25,0.1,0,0.0015
55923,0,0,0,2,2,0,5mm,0.25,0.25,0.1,0.1,0.25,0,0.1,0,0.25,0,0,0.0015
56874,0,0,0,1,1,0,5mm,0.25,0.25,0.25,0,0,0,0,0.1,0.1,0,0,0.0015
56883,0,0,0,2,2,0,5mm,0.25,0.25,0.25,0,0,0,0,0.25,0.1,0,0,0.0015
57113,0,0,0,1,1,0,5mm,0.25,0.25,0.25,0,0.1,0,0,0,0.25,0.25,0,0.0015
57121,0,0,0,1,1,0,5mm,0.25,0.25,0.25,0,0.1,0,0,0.1,0.25,0.1,0,0.0015
57128,0,0,0,1,2,0,5mm,0.25,0.25,0.25,0,0.1,0,0,0.25,0.1,0.25,0,0.0015
57367,0,0,0,1,1,0,5mm,0.25,0.25,0.25,0,0.25,0,0,0.25,0,0.1,0,0.0015
57374,0,0,0,1,2,0,5mm,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0,0.0015
13624,0,0,0,1,1,0,5mm,0,0.25,0,0,0.25,0,0,0.1,0.25,0.1,0,0.0015
13632,0,0,0,1,1,0,5mm,0,0.25,0,0,0.25,0,0,0.25,0.25,0,0,0.0015
19707,0,0,0,1,1,0,5mm,0.1,0,0,0,0,0,0,0.25,0.25,0,0,0.0015
20195,0,0,0,1,1,0,5mm,0.1,0,0,0,0.25,0,0,0.25,0.25,0.25,0,0.0015
26502,0,0,0,2,2,0,5mm,0.1,0.1,0,0,0.1,0,0,0.1,0.25,0,0,0.0015
26737,0,0,0,1,1,0,5mm,0.1,0.1,0,0,0.25,0,0,0,0.25,0.1,0,0.0015
27501,0,0,0,1,1,0,5mm,0.1,0.1,0,0.1,0.25,0,0.1,0.1,0.25,0,0,0.0015
32813,0,0,0,1,1,0,5mm,0.1,0.25,0,0,0,0,0,0,0.25,0.25,0,0.0015
33317,0,0,0,2,2,0,5mm,0.1,0.25,0,0,0.25,0,0,0.25,0.25,0.25,0,0.0015
33325,0,0,0,1,1,0,5mm,0.1,0.25,0,0,0.25,0,0.1,0,0.25,0.1,0,0.0015
34026,0,0,0,1,1,0,5mm,0.1,0.25,0,0.1,0.25,0,0,0,0.25,0,0,0.0015
34042,0,0,0,2,2,0,5mm,0.1,0.25,0,0.1,0.25,0,0,0.25,0.1,0.1,0,0.0015
35502,0,0,0,1,1,0,5mm,0.1,0.25,0.1,0,0.25,0,0,0.25,0.25,0,0,0.0015
