,L_ANT,R_ANT,L_AG,R_AG,SL_ACT,HG_L,HG_R,GGP_L,GGP_R,IL_L,IL_R,SL,MH_L,MH_R,GGA_L,GGA_R,GGM_L,GGM_R,TRANS_L,TRANS_R,STY_L,STY_R,VERT_L,VERT_R,BI_CLOSE
27,1.5,1,1.0,1,1,0.0,0.0,0.1,0.1,0.15,0.1,0.1,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.15,0.1,0.1,0.1,0.0015
28,1.0,1,0.5,1,1,0.0,0.0,0.05,0.1,0.0,0.0,0.1,0.125,0.25,0.1,0.1,0.125,0.25,0.0,0.0,0.0,0.0,0.125,0.25,0.0015
29,1.0,1,1.0,1,1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.25,0.25,0.1,0.1,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0015
30,1.5,1,0.5,1,1,0.0,0.0,0.05,0.1,0.0,0.0,0.1,0.125,0.25,0.15,0.1,0.125,0.25,0.0,0.0,0.0,0.0,0.125,0.25,0.0015
31,1.5,1,1.0,1,1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.25,0.25,0.15,0.1,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0015
32,1.0,1,0.5,1,1,0.0,0.0,0.05,0.1,0.0,0.0,0.25,0.125,0.25,0.25,0.25,0.125,0.25,0.0,0.0,0.0,0.0,0.125,0.25,0.0015
33,1.0,1,1.0,1,1,0.0,0.0,0.1,0.1,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0015
34,1.5,1,0.5,1,1,0.0,0.0,0.05,0.1,0.0,0.0,0.25,0.125,0.25,0.375,0.25,0.125,0.25,0.0,0.0,0.0,0.0,0.125,0.25,0.0015
35,1.5,1,1.0,1,1,0.0,0.0,0.1,0.1,0.0,0.0,0.25,0.25,0.25,0.375,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0015
36,1.0,1,0.5,1,1,0.0,0.0,0.125,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
